store,level_1,counts
store_0,AB01,378
store_0,AB02,144
store_0,Ab11,132
store_0,AB09,107
store_0,AB14,93
store_0,AB16,82
store_0,AB03,80
store_0,AB05,58
store_0,AB08,52
store_0,Ab13,49
store_0,AB06,30
store_0,Ab12,15
store_0,AB15,11
store_0,AB21,3
store_0,200000,3
store_0,200001,1
store_1,AB01,2505
store_1,AB02,1106
store_1,2980,466
store_1,AB03,459
store_1,2984,448
store_1,1,309
store_1,1000000000,285
store_1,AB11,232
store_1,AB08,217
store_1,AB21,171
store_1,AB05,163
store_1,AB09,140
store_1,AB06,94
store_1,2,67
store_1,AB14,61
store_1,200000,55
store_1,BC050MA0037,50
store_1,AB13,49
store_1,AB12,39
store_1,AB58,30
store_1,AB22,30
store_1,200001,26
store_1,ABS300,24
store_1,AB56,19
store_1,AB19,17
store_1,AB07,17
store_1,AB50,14
store_1,AB52,11
store_1,AB15,11
store_1,AB26,10
store_1,AB62,9
store_1,AB63,9
store_1,AB60,8
store_1,AB23,8
store_1,AB57,8
store_1,AB24,6
store_1,AB51,5
store_1,AB25,5
store_1,AB16,5
store_1,AB54,5
store_1,AB04,5
store_1,AB29,4
store_1,AB27,4
store_1,AB28,4
store_1,AB55,3
store_1,AB53,2
store_1,AB64,1
store_1,AB59,1
store_10,TEV0283,54186
store_10,TEV0111,3733
store_10,TEV0106,3733
store_10,TEV0079,3425
store_10,TEV0104,3246
store_10,TEV0472,3138
store_10,TEV0109,2779
store_10,TEV0389,2731
store_10,TEV0154,2729
store_10,TEV0384,2691
store_10,TEVB1122,2658
store_10,TEV0279,2508
store_10,TEV0081,2363
store_10,TEV0339,2360
store_10,TEV0386,2089
store_10,TEV0467,2055
store_10,TEV0156,1868
store_10,TEV0341,1770
store_10,TEV0391,1742
store_10,TEV0049,1692
store_10,TEVD029,1686
store_10,TEV0282,1612
store_10,TEV0059,1493
store_10,TEV0149,1492
store_10,TEV0044,1452
store_10,TEV0353,1397
store_10,TEV0399,1395
store_10,TEV0108,1323
store_10,TEV0264,1315
store_10,TEV0083,1305
store_10,TEV0113,1262
store_10,TEV0244,1245
store_10,TEV0393,1245
store_10,TEV0101,1134
store_10,TEV0266,1121
store_10,TEV0099,1094
store_10,TEV0246,1069
store_10,TEV0388,1059
store_10,TEV0158,1002
store_10,TEV0487,984
store_10,TEV0401,978
store_10,TEV0096,971
store_10,TEV0394,953
store_10,TEV0051,936
store_10,TEV0061,907
store_10,TEV0355,897
store_10,TEV0094,888
store_10,TEV0513,854
store_10,TEV0084,842
store_10,TEV0053,842
store_10,TEV0343,832
store_10,TEV0151,827
store_10,TEV0046,777
store_10,TEV0396,754
store_10,TEV0802,745
store_10,TEV0134,734
store_10,TEVB112,728
store_10,TEV0234,722
store_10,TEV0259,689
store_10,TEV0136,677
store_10,TEV0456,675
store_10,TEV0063,675
store_10,TEV0573,668
store_10,TEV0048,637
store_10,TEV0461,620
store_10,TEV0943,613
store_10,TEV0268,612
store_10,TEV0357,601
store_10,TEV0489,600
store_10,TEV0364,594
store_10,TEV0089,583
store_10,TEV0274,581
store_10,TEV0086,572
store_10,TEV0463,570
store_10,TEV0945,556
store_10,TEV0236,552
store_10,TEV0376,537
store_10,TEV0578,534
store_10,TEV0374,527
store_10,TEV0074,525
store_10,TEV0069,515
store_10,TEV0153,514
store_10,TEV0491,504
store_10,TEV0796,501
store_10,TEV0121,478
store_10,TEV0409,476
store_10,TEV0562,447
store_10,TEV0947,446
store_10,TEV0403,435
store_10,TEV0541,422
store_10,TEV0103,420
store_10,TEV0536,419
store_10,TEV0144,412
store_10,TEV0284,410
store_10,TEV0119,408
store_10,TEV0138,402
store_10,TEV0263,401
store_10,TEV0469,399
store_10,TEV0093,393
store_10,TEV0248,393
store_10,TEV0451,388
store_10,TEV0404,386
store_10,TEV0261,384
store_10,TEV0786,378
store_10,TEV0333,378
store_10,TEV0114,371
store_10,TEV0398,370
store_10,TEV0804,369
store_10,TEV0366,366
store_10,TEV0076,360
store_10,TEV0526,359
store_10,TEV0791,358
store_10,TEV0098,353
store_10,TEV0278,345
store_10,TEV0344,344
store_10,TEV0276,341
store_10,TEV0379,335
store_10,TEV0543,335
store_10,TEV0798,334
store_10,TEV0643,332
store_10,TEV0928,331
store_10,TEV0116,325
store_10,TEV0148,316
store_10,TEV0515,315
store_10,TEV0481,315
store_10,TEV0238,314
store_10,TEV0336,314
store_10,TEV0088,312
store_10,TEV0531,304
store_10,TEV0159,303
store_10,TEV0436,301
store_10,TEV0091,297
store_10,TEV0458,295
store_10,TEV0538,288
store_10,TEV0346,286
store_10,TEV0411,281
store_10,TEV0958,278
store_10,TEV0645,277
store_10,TEV0254,273
store_10,TEV0788,273
store_10,TEV0431,272
store_10,TEV1008,272
store_10,TEV0729,266
store_10,TEV0073,265
store_10,TEV0521,264
store_10,TEV0800,261
store_10,TEV0413,259
store_10,TEV0164,248
store_10,TEV0406,244
store_10,TEV0795,241
store_10,TEV0123,240
store_10,TEV0231,239
store_10,TEV0124,237
store_10,TEV1011,237
store_10,TEV0363,236
store_10,TEV0054,236
store_10,TEV0806,234
store_10,TEV0129,233
store_10,TEV0146,229
store_10,TEV0591,228
store_10,TEV0169,226
store_10,TEV0078,222
store_10,TEV0678,217
store_10,TEV0540,216
store_10,TEV0383,215
store_10,TEV0960,214
store_10,TEV0378,214
store_10,TEV0589,212
store_10,TEV0693,209
store_10,TEV0933,208
store_10,TEV0071,207
store_10,TEV0141,207
store_10,TEV0256,206
store_10,TEV0360,206
store_10,TEV0460,205
store_10,TEV0793,203
store_10,TEV0358,202
store_10,TEV0790,200
store_10,TEV0668,200
store_10,TEV0530,200
store_10,TEV0064,200
store_10,TEV0575,197
store_10,TEV0525,197
store_10,TEV0932,197
store_10,TEV1013,196
store_10,TEV0990,194
store_10,TEV0133,194
store_10,TEV0670,194
store_10,TEV0171,194
store_10,TEV0438,193
store_10,TEV0528,192
store_10,TEV0229,186
store_10,TEV0476,185
store_10,TEV0545,185
store_10,TEV0535,185
store_10,TEV0224,183
store_10,TEV0516,180
store_10,TEV0139,179
store_10,TEV0424,179
store_10,TEV0368,176
