store,cleaned_codes,count
store_10,TEV20,39683
store_10,PAYDAY30,23895
store_10,LOVE25,13354
store_19,UKWEL15CJ,12479
store_41,FREE NECK PAIN E-COURSE ,11435
store_10,THANKYOU30,10566
store_6,CS-EV-10-736G8,8113
store_2,TAKE20 ,7139
store_19,CLUBLCWD17 ,6897
store_2,2FOR1 ,6827
store_18,USWEL15CJ,5287
store_10,NEW30,5170
store_36,"
                    100% OFF WHEN YOU SPEND £419 
                  ",4974
store_8,APP10,4774
store_41,15% OFF FOR 2 PILLOWS ,4673
store_2,HELLO25 ,4054
store_8,PAYDAY,3859
store_19,CL15CHJ ,3578
store_2,TAKE25 ,3575
store_40,FREE GIFT! ,3574
store_6,FWKSXKQ9HRM1,3173
store_19,CLUBLHSD17 ,3062
store_33,"
                    CLEANBEAUTY15 
                  ",2927
store_2,TREAT20 ,2880
store_8,WELCOME10,2875
store_36,"
                    40% OFF WHEN YOU SPEND £419 
                  ",2874
store_20,FREE GIFT ,2764
store_19,CLUBLMC16 ,2654
store_63,100% OFF ,2470
store_8,BEE20,2204
store_40,STARTER PACK SHAKER ,2181
store_32,IWD20,2051
store_27,,1966
store_27,ADVANCED BUNDLE DISCOUNT ,1965
store_8,HURRY20,1898
store_7,A FREE GIFT FOR SPENDING £40+ ,1829
store_36,"
                    60% OFF WHEN YOU SPEND £419 
                  ",1814
store_18,CL57J0Q ,1755
store_43,BROCKEN5 ,1707
store_47,CAE ,1668
store_47,GIVING15 ,1513
store_44,WELCOME10 ,1511
store_3,FREE SAMPLE ,1444
store_34,LAB20 ,1377
store_27,SOCIAL10,1314
store_46,FOUZ ,1294
store_36,"
                    35% OFF WHEN YOU SPEND £419 
                  ",1278
store_36,"
                    25% OFF WHEN YOU SPEND £419 
                  ",1236
store_52,10% OFF WHEN BUYING 3 OR MORE. ,1177
store_63,FREE GOLD MEMBER GIFT ,1175
store_17,IEWEL15CJ,1157
store_27,DISCOUNT UNLOCKED ,1139
store_33,"
                    BEAUTY15 
                  ",1139
store_18,WELCOME15 ,1122
store_28,TOTUMSD20 ,1121
store_47,MISSU25,1117
store_53,10% OFF WHEN BUYING 3 OR MORE. ,1088
store_7,WELCOME15,1076
store_27,SAVE5,1073
store_47,ZBEEB ,1068
store_44,SPRING20 ,1003
store_60,100% OFF ,930
store_47,GLB ,925
store_56,SAVEME15 ,922
store_46,ASLI ,912
store_15,AUWEL15CJ,874
store_43,LISTHEN6 ,868
store_56,TROLLEY ,862
store_46,MONY,860
store_23,SOCIAL20 ,845
store_46,YOUMI ,830
store_28,,801
store_63, GET 1 FREE ,800
store_63,BUY 1,800
store_7,FREE GIFT UNLOCKED ,796
store_33,"
                    BEAUTYLOVES15 
                  ",778
store_62,100% OFF ,739
store_46,SSSS,714
store_18,XYSH1HS5 ,707
store_14,WELCOME10,707
store_7,VEGAN20 ,705
store_30,MAUVAIS10,689
store_14,TEAM15,634
store_18,APPMYSTERY ,626
store_32,EXTRA ,603
store_31,WELCOME10,599
store_7,NAILS25 ,561
store_30,SWE589L ,537
store_28,IMEXTRA ,536
store_16,FRWEL15CJ,522
store_40,METAL STARTER PACK SHAKER ,516
store_28,HOORAY20 ,508
store_33,"
                    FORYOU15 
                  ",506
store_62, GET 1 FREE ,495
store_62,BUY 1,495
store_33,"
                    BUNDLE OFFER 
                  ",479
store_44,SAJAL20,461
store_1,NEW20,451
store_61,100% OFF ,436
store_50,5% OFF WHEN BUYING 2. ,423
store_60,BUY 1,422
store_60, GET 1 FREE ,422
store_4,THANKYOU-2522,401
store_63,DASHA20,400
store_39,STARTER PACK SHAKER ,397
store_26,7G6WGSGQ2PS3 ,395
store_28,AZERA20 ,395
store_12,N10DWGPHVPNYZH ,394
store_23,VALENTINE ,391
store_54,10% OFF WHEN BUYING 3 OR MORE. ,386
store_53,5% OFF WHEN BUYING 2. ,384
store_56,MSE2 ,382
store_56,BONUS15 ,373
store_56,INSJS8 ,369
store_25,PAYDAY20 ,348
store_14,WELCOME10-784DG,340
store_15,XYSH1HS5 ,335
store_40,,327
store_23,GAL ,315
store_39,FREE GIFT! ,314
store_53,DAYONE10 ,301
store_60,FREE GOLD MEMBER GIFT ,301
store_37,WELCOME10,291
store_23,GCMAY ,289
store_13,N10DWGPHVPNYZH ,273
store_43,SUPERSTRONG10 ,272
store_52,5% OFF WHEN BUYING 2. ,262
store_15,CL57J0Q ,244
store_11,N10DWGPHVPNYZH ,241
store_62,FREE GOLD MEMBER GIFT ,241
store_14,WELCOME10-93IDP,240
store_52,DAYONE10 ,227
store_1,SPRING15 ,224
store_61, GET 1 FREE ,222
store_61,BUY 1,222
store_3,TREAT15 ,218
store_50,DAYONE10 ,217
store_30,SAC572H ,217
store_23,COUNTYDOWNUNDER ,214
store_48,TSECARLY10,213
store_50,10% OFF WHEN BUYING 3 OR MORE. ,213
store_3,EXCLUSIVE15 ,212
store_40,ROYALSNEAK15 ,207
store_20,RFRBWCL ,198
store_44,BLSC15 ,198
store_29,LC10,197
store_14,ROYAL,194
store_29,LOCI15 ,192
store_37,JEN15,189
store_55,5% OFF WHEN BUYING 2. ,188
store_38,FREE GIFT! ,185
store_3,WELCOME10,181
store_44,CHEETAH10,175
store_12,R10VPNYZHDWGPH ,174
store_3,FREE GIFT ,173
store_4,SOCIAL15 ,172
store_13,R10VPNYZHDWGPH ,165
store_1,WELCOME10,150
store_29,WELCOME10 ,150
store_37,15% OFF FOR 2 PILLOWS ,148
store_21,BLCWELCOME,141
store_6,J1E2R3S4E5Y ,141
store_20,WKEND10 ,136
store_20,JULIENF ,135
store_20,WEEKEND10 ,134
store_15,AUAC15CJ,131
store_34,TREAT20 ,131
store_17,APPMYSTERY ,131
store_37,SF10,129
store_58,BUY 1,125
store_58, GET 1 FREE ,125
store_17,IEAC15CJ,114
store_12,AFF10BRUS,111
store_29,SAVE10,110
store_34,TX3 ,110
store_52,FREE GIFT FOR SPENDING 40 USD ,110
store_58,100% OFF ,108
store_52,MILES10,104
store_17,CL49N19T ,102
store_61,MISSKATH20,102
store_6,10INT2F64H1N ,100
store_26,MAY ,99
store_53,TUI,99
store_60,TRINA20,98
store_62,BREYA20,98
store_1,PROSKIN10,97
store_48,TSEGRACE10,97
store_55,DAYONE10 ,95
store_26,JOYHOME10 ,93
store_15,CL15CHJ ,93
store_16,FRAC15CJ,93
store_59,100% OFF ,91
store_34,THANKYOU25 ,90
store_16,GET15,90
store_35,ROSIE15,89
store_37,FREE PROTECTOR ,87
store_13,LANY15 ,86
store_26,BASK5T6 ,84
store_29,LOCI10,83
store_55,10% OFF WHEN BUYING 3 OR MORE. ,82
store_53,DEREK10,80
store_17,GET15,78
store_35,HELLO10,77
store_13,AFFBREX10,74
store_11,R10VPNYZHDWGPH ,72
store_54,5% OFF WHEN BUYING 2. ,70
store_1,NEW15,70
store_26,LUXESTYLE ,69
store_50,SWITCH40 ,68
store_34,FREESOCKS ,67
store_12,JSJ15 ,65
store_61,DAISYLIFTS20,65
store_39,SNEAKNEWBIE ,64
store_4,THANKYOU-4X28,63
store_57,FREE GOLD MEMBER GIFT ,62
store_6,CS-EV-78273N,62
store_54,DAYONE10 ,60
store_12,LANY15 ,60
store_4,FLORA15 ,59
store_13,AFFEXBRUK,57
store_16,CL57J0Q ,56
store_50,CARO,56
store_58,FREE GOLD MEMBER GIFT ,52
store_24,GCMAY ,51
store_43,EVALIFTS ,51
store_31,GOAL,49
store_41,15% OFF FOR 4 PILLOWS ,48
store_0,SPRING15 ,48
store_9,SIGNUP10,48
store_43,brocken5,46
store_16,XYSH1HS5 ,46
store_58,TAMMY,45
store_41,15% OFF FOR 3 PILLOWS ,44
store_39,STACK10 ,42
store_39,DBLSCOOP ,42
store_48,LAURENTSE10,42
store_41,SPRING30 ,40
store_48,AMBASSADORHELEN10,40
store_0,NEW20,37
store_49,5% OFF WHEN BUYING 2. ,37
store_24,COUNTYDOWNUNDER ,36
store_42,SPEND $249 AND SAVE 30% ,35
store_59,BUY 1,35
store_59, GET 1 FREE ,35
store_45,SW20 ,35
store_38,STARTER PACK SHAKER ,34
store_11,LANY15 ,34
store_54,ALAIA10,34
store_48,TARA10TSE,32
store_9,COMEBACK10,32
store_45,HOTGIRLWALKOC,31
store_54,MARCO10,30
store_59,FREE GOLD MEMBER GIFT ,30
store_21,JUBILEE30,30
store_45,EM20 ,30
store_55,FREEB12 ,29
store_45,20LCA ,29
store_38,SNEAKNEWBIE ,27
store_0,WELCOMEBACK,27
store_0,NEW15,26
store_57,100% OFF ,25
store_45,CST20,24
store_57,BUY 1,24
store_24,SOCIAL20 ,24
store_0,WELCOME10,23
store_25,WELCOME20,23
store_51,DAYONE10 ,23
store_55,SWITCH40 ,22
store_35,SPRING20 ,21
store_11,DISCOUNT ,21
store_11,VICA15,21
store_25,PAYDAY30,17
store_38,STACK10 ,17
store_42,20% OFF LOYALTY OFFER ANY FULL PRICE PUR ,17
store_38,NEONPUNCH ,16
store_4,VALENTINE'S 3 FOR 2 ,16
store_57, GET 1 FREE ,16
store_51,10% OFF WHEN BUYING 3 OR MORE. ,16
store_32,DARCY10,15
store_59,TRINA20,15
store_9,Q5F9-WHMA-X5HP,14
store_31,"•••• 8763
Gift card ending with 8763",14
store_31,NICK67517,14
store_32,MAY30,12
store_9,TSPDEAL ,12
store_35,SPOOKYSOUP20 ,12
store_51,5% OFF WHEN BUYING 2. ,12
store_9,BETTERTHANYESTERDAY,12
